Model,MAE,RMSE,R2,MAPE (%),SMAPE (%)
LightGBM,139.25780456796426,369.18527517009755,0.5866917192802271,12.889105385223463,12.71347823367892
XGBoost,145.343137009518,370.34129077762856,0.5840993143312581,13.877961528408544,13.668593004077042
CatBoost,151.47306875407202,375.2295820175383,0.5730475562322972,14.743620295604828,14.497026029903237
RandomForest,160.78676623956645,385.51250419086523,0.5493262086816335,15.7784954199992,14.73828724324113
